title,glass,garnish,recipe,ingredients
Katrina Cocktail,Old-fashioned glass,Dust with grated nutmeg,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['0.75 cl', 'Coffee liqueur'], ['0.5 cl', 'La Fée Parisienne absinthe'], ['0.75 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['3 cl', 'Apple juice']]"
King Cole Cocktail,Martini glass,Orange & pineapple slices,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Rye whiskey (90 proof / 45% alc./vol.)'], ['0.75 cl', 'Fernet liqueur'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Knicker Dropper Glory,Shot glass,None,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Hazelnut liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
L'amour En Fuite,Old-fashioned glass,Orange zest twist,"1. POUR absinthe into ice-filled glass, TOP with water and leave to stand.
2. Separately STIR gin, vermouth and elderflower liqueur with ice.
3. DISCARD contents of glass (absinthe, water and ice) and STRAIN contents of mixing glass into absinthe-coated glass. (No ice in glass.)","[['1.5 cl', 'La Fée Parisienne absinthe'], ['4.5 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'St-Germain elderflower liqueur']]"
Last Straw,Collins glass,Apple wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Avallen Calvados'], ['4.5 cl', 'St-Germain elderflower liqueur'], ['4.5 cl', 'Medium dry apple cider'], ['4.5 cl', 'Apple juice']]"
Long Beach Iced Tea,Collins glass,Lemon slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['1.5 cl', 'Coffee liqueur'], ['1.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Ketel One Vodka'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['6 cl', 'Cranberry juice (sweetened)']]"
Lucien Gaudin,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4 cl', 'Rutte Dry Gin'], ['2 cl', 'De Kuyper Triple Sec (40%)'], ['2 cl', 'Italian red bitter liqueur'], ['2 cl', 'Martini Extra Dry vermouth']]"
The Mackinnon,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Havana Club 3 Year Old rum'], ['3 cl', 'Drambuie liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)']]"
Marie Rose,Martini glass,Rosemary sprig,"Strip leaves from rosemary and MUDDLE with grapes in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1⁄2 sprig', 'Rosemary sprig'], ['8 fresh', 'Green grapes (seedless)'], ['6 cl', 'Rutte Dry Gin'], ['2.25 cl', 'St-Germain elderflower liqueur'], ['0.75 cl', 'Lime juice (freshly squeezed)']]"
Parisien Mojito,Collins glass,Mint sprig,"Lightly MUDDLE mint (just to bruise) in base of glass. Add other ingredients, half fill glass with crushed ice and CHURN (stir) with bar spoon. Fill glass to brim with more crushed ice and churn some more. Serve with straws.","[['12 fresh', 'Mint leaves'], ['6 cl', 'Bacardi Carta Blanca light rum'], ['4.5 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Lime juice (freshly squeezed)']]"
Mood Indigo,Martini glass,Violet blossom or mint sprig,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Crème de violette liqueur'], ['1.5 cl', 'Pasteurised egg white'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]"
Moonlight Cocktail (Harry Craddock's recipe),Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Kirschwasser (cherry) eau-de-vie'], ['3 cl', 'Sauvignon blanc wine'], ['3.75 cl', 'Grapefruit juice (pink)']]"
Mother Rum,Old-fashioned glass,Cinnamon stick,STIR all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Havana Club 7yo rum'], ['0.75 cl', 'Dutch Cacao white crème de cacao'], ['0.75 cl', 'Maple syrup']]"
Mountain,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Bourbon whiskey'], ['2.25 cl', 'Martini Extra Dry vermouth'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Pasteurised egg white']]"
Nathalia,Old-fashioned glass,Orange zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Yellow Chartreuse liqueur'], ['2.25 cl', 'Giffard Banane du Brésil liqueur'], ['1 dash', 'Orange Bitters by Angostura']]"
Neal's Barbados Cosmopolitan,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3.75 cl', 'Havana Club 3 Year Old rum'], ['2.25 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4.5 cl', 'Cranberry juice (sweetened)']]"
Nuclear Daiquiri,Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'White overproof rum'], ['2 cl', 'Green Chartreuse liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', ""Difford's Falernum liqueur""], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Obituary,Coupe glass,Olive,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin (from freezer)'], ['0.75 cl', 'Martini Extra Dry vermouth'], ['0.25 cl', 'La Fée Parisienne absinthe']]"
Old Flame,Martini glass,Orange zest twist (flamed),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Rutte Dry Gin'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Martini Rosso sweet vermouth'], ['0.75 cl', 'Italian red bitter liqueur'], ['4.5 cl', 'Orange juice (freshly squeezed)']]"
Padovani,Old-fashioned glass,Lemon zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['6 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'St-Germain elderflower liqueur']]"
Panachée,Collins glass,None,"POUR first two ingredients into glass. Serve iced water separately in a small jug (known in France as a 'broc') so the drinker can dilute to their own taste (we recommend four-and-a-half shots). Lastly, add ice to glass.","[['3 cl', 'La Fée Parisienne absinthe'], ['3 cl', 'Anisette liqueur'], ['Top up with', 'Chilled water']]"
Parisian Martini,Martini glass,Lime zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['2 cl', 'St-Germain elderflower liqueur'], ['2 cl', 'Martini Extra Dry vermouth']]"
Parisian Sidecar,Martini glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['4 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)']]"
Pear Martini,Martini glass,Pear slice,STIR all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Pear flavoured vodka'], ['4.5 cl', 'St-Germain elderflower liqueur'], ['0.5 cl', 'Martini Extra Dry vermouth']]"
Pear Tree Cocktail,Martini glass,Pear slice,SHAKE first two ingredients with ice and fine strain into chilled glass. TOP with champagne.,"[['4.5 cl', 'Pear flavoured vodka'], ['4.5 cl', 'St-Germain elderflower liqueur'], ['Top up with', 'Brut Champagne']]"
Pegu Club Cocktail (Difford's recipe),Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Orange Curaçao liqueur'], ['0.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['0.25 cl', 'Lime cordial (sweetened lime juice)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1 dash', 'Orange Bitters by Angostura'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Peppermint Vanilla Daiquiri,Old-fashioned glass,Mint sprig,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['0.75 cl', ""Galliano L'Autentico liqueur""], ['0.75 cl', 'Giffard Menthe Pastille white crème de menthe'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Periscope,Coupe glass,Grapefruit zest twist,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['4.5 cl', 'Rutte Dry Gin'], ['3 cl', 'St-Germain elderflower liqueur'], ['0.5 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Pasteurised egg white']]"
Peruvian Elder Sour,Coupe glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'BarSol Mosto Verde Italia Pisco'], ['3 cl', 'St-Germain elderflower liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Peter Pan Cocktail,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.5 cl', 'Rutte Dry Gin'], ['2.5 cl', 'Giffard Crème de Pêche de Vigne liqueur'], ['2.5 cl', 'Martini Extra Dry vermouth'], ['2.5 cl', 'Orange juice (freshly squeezed)'], ['3 dash', 'Peach bitters']]"
Peto Martini,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['2.5 cl', 'Martini Extra Dry vermouth'], ['2.5 cl', 'Martini Rosso sweet vermouth'], ['0.75 cl', 'Orange juice (freshly squeezed)'], ['0.25 cl', 'Luxardo Maraschino liqueur']]"
The [Pick of] Destiny,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['3 cl', 'St-Germain elderflower liqueur'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['3 dash', 'Orange Bitters by Angostura']]"
Pina Colada Cocktail (Cuban Style),Collins or Pineapple shell glass,Lime wedge,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Havana Club 7yo rum'], ['12 cl', 'Pineapple juice (fresh pressed)'], ['0.75 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Pink Squirrel,Nick & Nora glass,Dust with grated nutmeg and line of Peychaud's bitters across surface.,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Crème de noyau liqueur'], ['3 cl', 'Dutch Cacao white crème de cacao'], ['4.5 cl', 'Single cream / half-and-half']]"
Pomme et Sureau,Collins glass,Apple wedge,"POUR first 2 ingredients into ice-filled glass, TOP with soda and lightly stir.","[['3 cl', 'Avallen Calvados'], ['6 cl', 'St-Germain elderflower liqueur'], ['Top up with', 'Thomas Henry Soda Water']]"
Prado,Coupe glass,Lime wedge,SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.,"[['6 cl', 'Patrón Reposado tequila'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Pasteurised egg white']]"
The Puritan,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1 cl', 'Yellow Chartreuse liqueur'], ['1 dash', 'Orange Bitters by Angostura'], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Queen's Park Swizzle,Collins glass,"Lime wedge, mint sprig & straws","1. Lightly MUDDLE mint with rum in base of glass. Use your bar spoon to raise the bruised mint up and around the inside of the glass to coat with fragrant mint oils.
2. Add other ingredients and two-thirds fill glass with crushed ice.
3. SWIZZLE with a swizzle stick or CHURN (stir) with a bar spoon.
4. Fill glass with more crushed ice.","[['8 fresh', 'Mint leaves'], ['6 cl', 'Havana Club 3 Year Old rum'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Demerara / dark Muscovado sugar syrup (2 sugar to 1 water)'], ['2 dash', 'Angostura Aromatic Bitters']]"
Rizzo,Coupe glass,Apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Avallen Calvados'], ['3 cl', 'Rutte Dry Gin'], ['2.25 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Passion fruit syrup'], ['0.75 cl', 'Giffard Grenadine syrup']]"
Rousing Charlie,Martini glass,Lychee,STIR all ingredients with ice and strain into chilled glass.,"[['2.25 cl', 'BarSol Mosto Verde Italia Pisco'], ['2.25 cl', 'St-Germain elderflower liqueur'], ['2.25 cl', 'Fino sherry'], ['2.25 cl', 'Sake'], ['1.5 cl', 'Lychee syrup']]"
Elderflower Spritz,Collins glass,Lime slice,POUR wine and then elderflower liqueur into an ice-filled glass. TOP with soda (or champagne).,"[['6 cl', 'Sauvignon blanc wine'], ['4.5 cl', 'St-Germain elderflower liqueur'], ['6 cl', 'Thomas Henry Soda Water']]"
Salflower Sour,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'St-Germain elderflower liqueur'], ['2.25 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1 dash', 'Orange Bitters by Angostura'], ['1.5 cl', 'Pasteurised egg white']]"
Saúco Margarita,Coupe glass,Lime wedge & salt rim (optional),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Patrón Reposado tequila'], ['3.5 cl', 'St-Germain elderflower liqueur'], ['2 cl', 'Lime juice (freshly squeezed)'], ['4 drop', ""Difford's Daiquiri Bitters""]]"
Scorched Earth,Martini glass,Lemon zest twist,STIR all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Martini Rosso sweet vermouth'], ['1.5 cl', 'Cynar or other carciofo amaro']]"
Screaming Orgasm,Hurricane glass,Dust with chocolate powder,SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"[['3.75 cl', 'Ketel One Vodka'], ['3.75 cl', 'Coffee liqueur'], ['3.75 cl', 'Disaronno amaretto'], ['3.75 cl', 'Irish cream liqueur'], ['3.75 cl', 'Single cream / half-and-half'], ['3.75 cl', 'Milk (whole milk/full 3-4% fat)']]"
Serendipity (by Colin Field),Old-fashioned glass,Mint sprig,SHAKE first four ingredients with ice and fine strain into ice-filled glass. TOP with champagne.,"[['8 fresh', 'Mint leaves'], ['4.5 cl', 'Avallen Calvados'], ['4.5 cl', 'Apple juice'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['Top up with', 'Brut Champagne']]"
Sidecarriage,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Avallen Calvados'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'St-Germain elderflower liqueur'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 cl', 'Chilled water']]"
Silk Panties,Martini glass,Peach slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Ketel One Vodka'], ['3 cl', 'Peachtree peach schnapps'], ['2 dash', 'Peach bitters (optional)']]"
S. Tea G.,Collins glass,Lemon slice,SHAKE first three ingredients with ice and strain into ice-filled glass. TOP with tonic water.,"[['4.5 cl', 'Rutte Dry Gin'], ['4.5 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Black tea (cold)'], ['Top up with', 'Thomas Henry Tonic Water']]"
The Bird Is The Word No.2,Coupe glass,Luxardo Maraschino cherry,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['2.25 cl', 'Bepi Tosolini Grappa di Moscato'], ['2.25 cl', 'Green Chartreuse liqueur'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['4 drop', ""Bob's Chocolate bitters""], ['1 cl', 'Chilled water (omit if using wet ice)']]"
Strawberry & Balsamic Cocktail,Martini glass,Strawberry,"MUDDLE strawberries in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['5 fresh', 'Small ripe strawberries (hulled)'], ['7.5 cl', 'Ketel One Vodka'], ['0.5 cl', 'Balsamic vinegar of Modena'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Teresa,Martini glass,Lime wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Italian red bitter liqueur'], ['3 cl', 'Lime juice (freshly squeezed)'], ['2.25 cl', 'Giffard Noir de Bourgogne Cassis']]"
Tonga,Hurricane glass,"Orange, lime & lemon slices",SHAKE all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'Rémy Martin 1738 Cognac'], ['0.75 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Giffard Grenadine syrup'], ['6 cl', 'Orange juice (freshly squeezed)'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Trifle Cocktail,Martini glass,Hundreds & Thousands,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Raspberry flavoured vodka'], ['1 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['4 cl', 'Drambuie liqueur']]"
Trilby #2,Martini glass,Lemon zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['9 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'De Kuyper Triple Sec (40%)'], ['1 dash', ""Peychaud's or other Creole-style bitters""], ['1.5 cl', ""Dewar's 12 Year Old Scotch whisky""]]"
Valentino,Coupe glass,Lemon zest twist,STIR all ingredients with ice and strain into a chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1.5 cl', 'Italian red bitter liqueur'], ['3 cl', 'Martini Rosso sweet vermouth']]"
Vancouver,Coupe glass,Orange zest twist (or Luxardo Maraschino cherry),STIR all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['2 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'Martini Extra Dry vermouth'], ['1.5 cl', 'Martini Rosso sweet vermouth'], ['1 dash', 'Orange Bitters by Angostura']]"
Wah-Wah,Martini glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'BarSol Mosto Verde Italia Pisco'], ['3 cl', 'St-Germain elderflower liqueur'], ['2.25 cl', 'Bittersweet orange-red aperitivo'], ['2.25 cl', 'Grapefruit juice (pink)'], ['1 dash', 'Angostura Aromatic Bitters']]"
Wash House,Martini glass,Thyme sprig,"Lightly MUDDLE basil (just to bruise) in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['4 fresh', 'Basil leaves'], ['6 cl', 'Ketel One Vodka'], ['1.5 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water']]"
Waters of Chaos,Old-fashioned glass,Ti-Punch style lime slice,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Rutte Old Simon Genever'], ['0.75 cl', 'White overproof rum'], ['0.75 cl', 'Green Chartreuse liqueur'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]"
Whisky Cobbler,Highball (max 10oz/300ml),"Mint sprigs bouquet, dehydrated orange wheel slice & dusting of freshly grated nutmeg. Serve with two straws.",SHAKE all ingredients with ice and strain into chilled glass filled with crushed ice and churn to mix cocktail with ice until outside of glass frosts. Top with more crushed ice to fill glass.,"[['4.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['0.75 cl', 'Orange Curaçao liqueur'], ['0.75 cl', 'Giffard Crème de Pêche de Vigne liqueur'], ['0.75 cl', 'De Kuyper Pineapple liqueur']]"
Wisecrack Fizz,Collins glass,Lemon zest twist,SHAKE first four ingredients with ice and strain into an ice-filled glass. TOP with soda and serve with straws.,"[['4.5 cl', 'BarSol Mosto Verde Italia Pisco'], ['3 cl', 'St-Germain elderflower liqueur'], ['3 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['Top up with', 'Thomas Henry Soda Water']]"
Act of Violets,Coupe glass,Dust with grated nutmeg,DRY SHAKE all ingredients (without ice). SHAKE again with ice and fine strain into chilled glass.,"[['6 cl', 'Rutte Dry Gin'], ['1 cl', 'Martini Extra Dry vermouth'], ['2 cl', 'Crème de violette liqueur'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Pasteurised egg white']]"
The Amalfi,Coupe glass,Grated lemon zest,"DRY SHAKE (without ice) all ingredients. Add ice, SHAKE again and fine strain into chilled glass.","[['6 cl', 'Bacardi Carta Blanca light rum'], ['2.25 cl', 'Pallini Limoncello liqueur'], ['2.25 cl', 'Martini Extra Dry vermouth'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Pasteurised egg white']]"
Apple Fool,Coupe glass,Float dehydrated apple slice,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 fresh', 'Basil leaves'], ['4.5 cl', 'Patrón Reposado tequila'], ['1.5 cl', 'Green Chartreuse liqueur'], ['3 cl', 'Grapefruit juice (ruby red)'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Apple Martini (with apple schnapps),Coupe glass,Apple wedge,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['4.5 cl', 'Ketel One Vodka'], ['3 cl', 'Apple Schnapps liqueur'], ['6 cl', 'Apple juice']]"
BBC (by Marian Beke),Old-fashioned glass,Apple fan or dehydrated apple slice wheel,STIR all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Becherovka liqueur'], ['1 dash', 'Wormwood bitters (optional)']]"
Benton's Old Fashioned,Rocks glass,Orange twist,"STIR bourbon and maple syrup in base of mixing glass until syrup dissolves. Add bitters and ice and STIR again. Strain into ice-filled glass.

*To make fat-washed bourbon: Grill 4 slices of bacon to obtain 30ml/1oz of warm fat (originally made using Benton's bacon, hence the name, but any extra-smoky bacon will suffice) and pour this into a 70cl of bourbon (in a 75cl bottle). Leave to infuse at room temperature for a day before placing bottle in a freezer to solidify the fat. Then clarify the bourbon by straining into a clean bottle.","[['6 cl', 'Bourbon whiskey (bacon fat washed)'], ['0.75 cl', 'Maple syrup'], ['2 dash', 'Angostura Aromatic Bitters']]"
Berlin Sour,Sour or Martini/Coupette glass,Lemon slice & Luxardo Maraschino cherry on stick (sail),SHAKE all ingredients with ice and fine strain into chilled glass.,"[['6 cl', 'Mentzendorff Kümmel liqueur'], ['1.5 cl', 'Luxardo Maraschino liqueur'], ['3 cl', 'Lemon juice (freshly squeezed)'], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
The Bird is the Word No.1,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3.75 cl', 'Patrón Reposado tequila'], ['2.5 cl', 'Yellow Chartreuse liqueur'], ['1.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.5 cl', 'Lemon juice (freshly squeezed)']]"
Bitter and Twisted Nail,Old-fashioned glass,Orange zest twist,STIR all ingredients with ice and fine strain into ice-filled glass.,"[['4.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['1.5 cl', 'Drambuie liqueur'], ['1.5 cl', 'Italian red bitter liqueur']]"
Black Nail #1,Old-fashioned glass,Lemon zest twist,STIR all ingredients with ice and fine strain into chilled glass.,"[['1.5 cl', 'Islay single malt (peated) Scotch whisky'], ['1.5 cl', 'Drambuie liqueur'], ['3 cl', ""Dewar's 12 Year Old Scotch whisky""], ['3 cl', 'Honey flavoured vodka']]"
Black Tie,Old-fashioned glass,Physalis (cape gooseberry),SHAKE all ingredients with ice and strain into ice-filled glass.,"[['3 cl', 'Havana Club 7yo rum'], ['1.5 cl', 'Bacardi Carta Blanca light rum'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['0.75 cl', 'Giffard Orgeat Syrup'], ['1⁄2 spoon', 'Black strap molasses'], ['2.25 cl', 'Lime juice (freshly squeezed)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]"
Brazilian Nail,Old-fashioned glass,Lime zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['4.5 cl', 'Novo Fogo Silver cachaça'], ['1.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['2.25 cl', 'Drambuie liqueur']]"
Breakfast Gimlet,Martini glass,Basil leaf,"STIR marmalade with gin in base of shaker to dissolve marmalade. Add lemon juice and lime cordial, SHAKE with ice and fine strain into chilled glass.","[['7.5 cl', 'Rutte Dry Gin'], ['0.75 cl', 'Lime cordial (sweetened lime juice)'], ['2 spoon', 'Orange marmalade'], ['0.75 cl', 'Lemon juice (freshly squeezed)']]"
Brooklyn Cocktail,Coupe glass,Skewered Luxardo Maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['4.5 cl', 'Martini Extra Dry vermouth'], ['1 cl', 'Amer Picon'], ['1 cl', 'Luxardo Maraschino liqueur'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]"
Bushwick,Coupe glass,None,STIR all ingredients with ice and strain into a chilled glass.,"[['6 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['0.75 cl', 'Luxardo Maraschino liqueur'], ['0.75 cl', 'Amer Picon']]"
Cajun Nail,Old-fashioned glass,Lemon zest twist (discarded),"POUR absinthe into ice-filled glass, TOP with water and leave to stand. Separately STIR whiskey, Drambuie and bitters with ice. DISCARD contents of glass (absinthe, water and ice) and STRAIN stirred drink into empty absinthe-coated glass.","[['1.5 cl', 'La Fée Parisienne absinthe'], ['4.5 cl', 'Daddy Rack Tennessee Whiskey'], ['4.5 cl', 'Drambuie liqueur'], ['3 dash', ""Peychaud's or other Creole-style bitters""], ['3 dash', 'Angostura Aromatic Bitters']]"
